turkiye,turkiye,http://www.turkiyegazetesi.com.tr/rss/rss.xml
tha,saglik,http://www.turkiyehaberajansi.com/rss/saglik/51.xml
tha,bilisim,http://www.turkiyehaberajansi.com/rss/bilisim/50.xml
tha,spor,http://www.turkiyehaberajansi.com/rss/spor/27.xml
tha,dunya,http://www.turkiyehaberajansi.com/rss/dunya/21.xml
tha,ekonomi,http://www.turkiyehaberajansi.com/rss/ekonomi/19.xml
tha,kultur-sanat,http://www.turkiyehaberajansi.com/rss/sinema-kultur-sanat/25.xml
iha,iha,http://www.iha.com.tr/rss.aspx
dha,dha,http://www.dha.com.tr/rss.asp
aa,guncel,http://aa.com.tr/tr/rss/default?cat=guncel
aa,ekonomi,http://aa.com.tr/tr/rss/default?cat=ekonomi
aa,dunya,http://aa.com.tr/tr/rss/default?cat=dunya
aa,spor,http://aa.com.tr/tr/rss/default?cat=spor
aa,kultur-sanat,http://aa.com.tr/tr/rss/default?cat=kultur-sanat
aa,bilim-teknoloji,http://aa.com.tr/tr/rss/default?cat=bilim-teknoloji
aa,saglik,http://aa.com.tr/tr/rss/default?cat=saglik
star,ekonomi,http://www.star.com.tr/rss/rss.asp?cid=15
star,spor,http://www.star.com.tr/rss/rss.asp?cid=16
star,dunya,http://www.star.com.tr/rss/rss.asp?cid=17
star,magazin,http://www.star.com.tr/rss/rss.asp?cid=20
star,teknoloji,http://www.star.com.tr/rss/rss.asp?cid=124
takvim,ekonomi,http://www.takvim.com.tr/rss/Ekonomi.xml
takvim,spor,http://www.takvim.com.tr/rss/Spor.xml
radikal,dunya,http://www.radikal.com.tr/d/rss/Rss_81.xml
radikal,ekonomi,http://www.radikal.com.tr/d/rss/Rss_80.xml
radikal,kultur,http://www.radikal.com.tr/d/rss/Rss_82.xml
radikal,saglik,http://www.radikal.com.tr/d/rss/Rss_118.xml
radikal,spor,http://www.radikal.com.tr/d/rss/Rss_118.xml
radikal,teknoloji,http://www.radikal.com.tr/d/rss/Rss_117.xml
cumhuriyet,dunya,http://www.cumhuriyet.com.tr/rss/5.xml
cumhuriyet,teknoloji,http://www.cumhuriyet.com.tr/rss/11.xml
cumhuriyet,egitim,http://www.cumhuriyet.com.tr/rss/18.xml
cumhuriyet,ekonomi,http://www.cumhuriyet.com.tr/rss/6.xml
cumhuriyet,kultur-sanat,http://www.cumhuriyet.com.tr/rss/7.xml
cumhuriyet,saglik,http://www.cumhuriyet.com.tr/rss/12.xml
milliyet,magazin,http://www.milliyet.com.tr/rss/rssNew/magazinRss.xml
milliyet,gundem,http://www.milliyet.com.tr/rss/rssNew/gundemRss.xml
milliyet,kitap,http://www.milliyet.com.tr/rss/rssNew/kitapRss.xml
milliyet,egitim,http://www.milliyet.com.tr/rss/rssNew/egitimRss.xml
milliyet,Dunya,http://www.milliyet.com.tr/rss/rssNew/dunyaRss.xml
milliyet,Ekonomi,http://www.milliyet.com.tr/rss/rssNew/ekonomiRss.xml
milliyet,Siyaset,http://www.milliyet.com.tr/rss/rssNew/siyasetRss.xml
milliyet,teknoloji,http://www.milliyet.com.tr/rss/rssNew/teknolojiRss.xml
milliyet,SonDakika,http://www.milliyet.com.tr/rss/rssNew/SonDakikaRss.xml
sabah,Ekonomi,http://www.sabah.com.tr/rss/ekonomi.xml
sabah,Spor,http://www.sabah.com.tr/rss/spor.xml
sabah,Dunya,http://www.sabah.com.tr/rss/dunya.xml
sabah,Teknoloji,http://www.sabah.com.tr/rss/teknoloji.xml
sabah,Saglik,http://www.sabah.com.tr/rss/saglik.xml
sabah,SonDakika,http://www.sabah.com.tr/rss/sondakika.xml
sabah,KulturSanat,http://www.sabah.com.tr/rss/kultur_sanat.xml
hurriyet,Gundem,http://www.hurriyet.com.tr/rss/gundem
hurriyet,Ekonomi,http://www.hurriyet.com.tr/rss/ekonomi
hurriyet,Magazin,http://www.hurriyet.com.tr/rss/magazin
hurriyet,Spor,http://www.hurriyet.com.tr/rss/spor
hurriyet,dunya,http://www.hurriyet.com.tr/rss/dunya
hurriyet,Teknoloji,http://www.hurriyet.com.tr/rss/teknoloji
hurriyet,Saglik,http://www.hurriyet.com.tr/rss/saglik
akit,dunya,http://www.yeniakit.com.tr/rss/haber/dunya
akit,spor,http://www.yeniakit.com.tr/rss/haber/spor
akit,kultur,http://www.yeniakit.com.tr/rss/haber/kultur-sanat
akit,siyaset,http://www.yeniakit.com.tr/rss/haber/siyaset
akit,saglik,http://www.yeniakit.com.tr/rss/haber/saglik
akit,egitim,http://www.yeniakit.com.tr/rss/haber/egitim
akit,teknoloji,http://www.yeniakit.com.tr/rss/haber/teknoloji
akit,otomotiv,http://www.yeniakit.com.tr/rss/haber/otomotiv
yenisafak,dunya,http://www.yenisafak.com/Rss
